decision_date,execution_date,next_execution_date,fold_id,baseline_target_asset,baseline_symbol,baseline_gross_return,absolute_opportunity_score,all_horizon_risk_safety,horizon_agreement,base_asset,top_1_asset,top_2_asset,timing_override,base_short_profit,challenger_short_profit,from_asset,selected_asset,gate_reason,absolute_entry_threshold,absolute_exit_threshold,cash_reentry_threshold,minimum_risk_safety,minimum_horizon_agreement,reentry_confirmation_sessions,gross_return,net_return,cost_sides,loss_avoided_by_cash_usd,profit_missed_by_cash_usd,strategy_equity,strategy_drawdown
2026-05-28T04:00:00+00:00,2026-05-29T04:00:00+00:00,2026-06-01T04:00:00+00:00,3,NVDA,NVDA,0.005365557784724473,0.71460563194081,0.3749332105695038,0.7917688546681998,NVDA,NVDA,LLY,False,0.8065470416418576,0.6398803749751911,NVDA,NVDA,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.005365557784724473,0.005365557784724473,0,0.0,0.0,1391697.2463044997,-0.02343077271697258
2026-05-29T04:00:00+00:00,2026-06-01T04:00:00+00:00,2026-06-02T04:00:00+00:00,3,NVDA,NVDA,0.053090774085762016,0.6879037552524504,0.32662835622532965,0.8916764294133268,NVDA,NVDA,LLY,False,0.7486167614200541,0.6048582859566395,NVDA,NVDA,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.053090774085762016,0.053090774085762016,0,0.0,0.0,1465583.530403829,0.0
2026-06-01T04:00:00+00:00,2026-06-02T04:00:00+00:00,2026-06-03T04:00:00+00:00,3,NVDA,NVDA,-0.024061343204653585,0.6826260331894222,0.3783354730526601,0.866696546318686,NVDA,NVDA,CRM,False,0.7270918087967478,0.7729081912032522,NVDA,NVDA,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.024061343204653585,-0.024061343204653585,0,0.0,0.0,1430319.6220836944,-0.024061343204653696
2026-06-02T04:00:00+00:00,2026-06-03T04:00:00+00:00,2026-06-04T04:00:00+00:00,3,NVDA,NVDA,-0.034114512778831374,0.6968945681554319,0.33870085039586734,0.9000258078666932,NVDA,NVDA,GOOGL,False,0.7486167614200541,0.7243253316368561,NVDA,NVDA,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.034114512778831374,-0.034114512778831374,0,0.0,0.0,1381524.965058307,-0.05735501498325413
2026-06-03T04:00:00+00:00,2026-06-04T04:00:00+00:00,2026-06-05T04:00:00+00:00,3,NVDA,NVDA,0.002921857834085273,0.6868590247825802,0.34874125665708394,0.725085912125109,NVDA,NVDA,GOOGL,False,0.8076586649701896,0.7041836175934957,NVDA,NVDA,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,0.002921857834085273,0.002921857834085273,0,0.0,0.0,1385561.5846004467,-0.05460074034902185
2026-06-04T04:00:00+00:00,2026-06-05T04:00:00+00:00,2026-06-08T04:00:00+00:00,3,NVDA,NVDA,-0.02027688435183883,0.6992088964479255,0.34874125665708394,0.8916497333025704,NVDA,NVDA,GOOGL,False,0.7270918087967478,0.6396087597235769,NVDA,NVDA,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.02027688435183883,-0.02027688435183883,0,0.0,0.0,1357466.712587153,-0.07377049180327866
2026-06-05T04:00:00+00:00,2026-06-08T04:00:00+00:00,2026-06-09T04:00:00+00:00,3,AVGO,AVGO,-0.0024876859545250873,0.7264770755849741,0.13503116121824504,0.9249786035853129,AVGO,AVGO,GOOGL,False,0.9173721720998541,0.662433634067542,NVDA,AVGO,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.0024876859545250873,-0.0024876859545250873,2,0.0,0.0,1354089.7617125148,-0.07607465994148621
2026-06-08T04:00:00+00:00,2026-06-09T04:00:00+00:00,2026-06-10T04:00:00+00:00,3,AVGO,AVGO,-0.05010224948875264,0.7709004623511618,0.14536462941730133,0.933306952148883,AVGO,AVGO,NVDA,False,0.9795194193832604,0.7281084085168855,AVGO,AVGO,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.05010224948875264,-0.05010224948875264,0,0.0,0.0,1286246.8186410288,-0.12236539783807843
2026-06-09T04:00:00+00:00,2026-06-10T04:00:00+00:00,2026-06-11T04:00:00+00:00,3,AVGO,AVGO,-0.02273622305652545,0.725787890308067,0.13188471694911902,0.9749796317705326,AVGO,AVGO,GOOGL,False,0.8750000000000001,0.5805113116005836,AVGO,AVGO,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.02273622305652545,-0.02273622305652545,0,0.0,0.0,1257002.4240666602,-0.1423194939149569
2026-06-10T04:00:00+00:00,2026-06-11T04:00:00+00:00,2026-06-12T04:00:00+00:00,3,CRM,CRM,-0.020978189813989467,0.6024241170710772,0.15663550544842159,0.9499885182075732,CRM,CRM,GOOGL,False,0.625,0.5812168170337709,AVGO,CRM,baseline_temporal,0.5,0.4,0.55,0.2,0.55,1,-0.020978189813989467,-0.020978189813989467,2,0.0,0.0,1230632.7886179448,-0.16031207837136752
